t/F:I/F:x/F:y/F:z/F:B/F:B_I0_T0/F:B_I0
264.000 0 0 0 0 50.000		0.005	0.005
265.000 0 0 0 0 50.000		0.005	0.005
266.000 0 0 0 0 50.000		0.005	0.005
267.000 0 0 0 0 50.000		0.005	0.005
268.000 0 0 0 0 50.000		0.005	0.005
269.000 0 0 0 0 50.000		0.005	0.005
270.000 0 0 0 0 50.000		0.005	0.005
271.000 0 0 0 0 50.000		0.005	0.005
272.000 0 0 0 0 50.000		0.005	0.005
273.000 0 0 0 0 50.000		0.005	0.005
274.000 0 0 0 0 50.000		0.005	0.005
275.000 0 0 0 0 50.000		0.005	0.005
276.000 0 0 0 0 50.000		0.005	0.005
277.000 0 0 0 0 50.000		0.005	0.005
278.000 0 0 0 0 50.000		0.005	0.005
279.000 0 0 0 0 50.000		0.005	0.005
280.000 0 0 0 0 50.000		0.005	0.005
281.000 0 0 0 0 50.000		0.005	0.005
282.000 0 0 0 0 50.000		0.005	0.005
283.000 0 0 0 0 50.000		0.005	0.005
284.000 0 0 0 0 50.000		0.005	0.005
285.000 0 0 0 0 50.000		0.005	0.005
286.000 0 0 0 0 50.000		0.005	0.005
287.000 0 0 0 0 50.000		0.005	0.005
288.000 0 0 0 0 50.000		0.005	0.005
289.000 0 0 0 0 49.990		0.005	0.005
290.000 0 0 0 0 50.000		0.005	0.005
291.000 0 0 0 0 50.000		0.005	0.005
292.000 0 0 0 0 50.000		0.005	0.005
293.000 0 0 0 0 50.000		0.005	0.005
294.000 0 0 0 0 50.000		0.005	0.005
295.000 0 0 0 0 50.000		0.005	0.005
296.000 0 0 0 0 50.000		0.005	0.005
297.000 0 0 0 0 50.000		0.005	0.005
298.000 0 0 0 0 50.000		0.005	0.005
299.000 0 0 0 0 50.000		0.005	0.005
300.000 0 0 0 0 50.000		0.005	0.005
301.000 0 0 0 0 50.000		0.005	0.005
302.000 0 0 0 0 50.000		0.005	0.005
303.000 0 0 0 0 50.000		0.005	0.005
304.000 0 0 0 0 50.000		0.005	0.005
305.000 0 0 0 0 50.000		0.005	0.005
306.000 0 0 0 0 50.000		0.005	0.005
307.000 0 0 0 0 50.000		0.005	0.005
308.000 0 0 0 0 49.990		0.005	0.005
309.000 0 0 0 0 50.000		0.005	0.005
310.000 0 0 0 0 49.990		0.005	0.005
311.000 0 0 0 0 50.000		0.005	0.005
312.000 0 0 0 0 50.000		0.005	0.005
313.000 0 0 0 0 50.000		0.005	0.005
314.000 0 0 0 0 50.000		0.005	0.005
315.000 0 0 0 0 50.000		0.005	0.005
316.000 0 0 0 0 50.000		0.005	0.005
317.000 0 0 0 0 50.000		0.005	0.005
318.000 0 0 0 0 50.000		0.005	0.005
319.000 0 0 0 0 50.000		0.005	0.005
320.000 0 0 0 0 50.000		0.005	0.005
321.000 0 0 0 0 50.000		0.005	0.005
322.000 0 0 0 0 50.000		0.005	0.005
323.000 0 0 0 0 50.000		0.005	0.005
324.000 0 0 0 0 50.000		0.005	0.005
325.000 0 0 0 0 50.000		0.005	0.005
326.000 0 0 0 0 50.000		0.005	0.005
327.000 0 0 0 0 50.000		0.005	0.005
328.000 0 0 0 0 49.990		0.005	0.005
