t/F:I/F:x/F:y/F:z/F:B/F:B_I0_T0/F:B_I0
73.000 -876.209 0 0 0 10.005	0.002	0.002
74.000 -876.203 0 0 0 10.004	0.002	0.002
75.000 -876.196 0 0 0 10.004	0.002	0.002
76.000 -876.193 0 0 0 10.004	0.002	0.002
77.000 -876.189 0 0 0 10.004	0.002	0.002
78.000 -876.183 0 0 0 10.004	0.002	0.002
79.000 -876.182 0 0 0 10.005	0.002	0.002
80.000 -876.176 0 0 0 10.003	0.002	0.002
81.000 -876.170 0 0 0 10.005	0.002	0.002
82.000 -876.163 0 0 0 10.005	0.002	0.002
83.000 -876.157 0 0 0 10.004	0.002	0.002
84.000 -876.153 0 0 0 10.005	0.002	0.002
85.000 -876.147 0 0 0 10.004	0.002	0.002
86.000 -876.144 0 0 0 10.005	0.002	0.002
87.000 -876.140 0 0 0 10.004	0.002	0.002
88.000 -876.136 0 0 0 10.005	0.002	0.002
89.000 -876.133 0 0 0 10.006	0.002	0.002
90.000 -876.128 0 0 0 10.006	0.002	0.002
91.000 -876.123 0 0 0 10.004	0.002	0.002
92.000 -876.119 0 0 0 10.005	0.002	0.002
93.000 -876.115 0 0 0 10.004	0.002	0.002
94.000 -876.110 0 0 0 10.006	0.002	0.002
95.000 -876.105 0 0 0 10.005	0.002	0.002
96.000 -876.103 0 0 0 10.005	0.002	0.002
97.000 -876.100 0 0 0 10.006	0.002	0.002
98.000 -876.097 0 0 0 10.005	0.002	0.002
99.000 -876.094 0 0 0 10.006	0.002	0.002
100.000 -876.088 0 0 0 10.007	0.002	0.002
101.000 -876.086 0 0 0 10.007	0.002	0.002
102.000 -876.085 0 0 0 10.007	0.002	0.002
103.000 -876.081 0 0 0 10.006	0.002	0.002
104.000 -876.077 0 0 0 10.005	0.002	0.002
105.000 -876.075 0 0 0 10.006	0.002	0.002
106.000 -876.070 0 0 0 10.007	0.002	0.002
107.000 -876.067 0 0 0 10.006	0.002	0.002
108.000 -876.061 0 0 0 10.007	0.002	0.002
109.000 -876.058 0 0 0 10.006	0.002	0.002
